Tahun Kerja,Tingkat Pengalaman,Jenis Pekerjaan,Jabatan,Gaji,Mata Uang,Gaji (USD),Negara Tinggal,Sistem Kerja,Lokasi Perusahaan,Ukuran Perusahaan
2023,Senior,Tetap,Data Scientist,185000,USD,185000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,262000,USD,262000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,245000,USD,245000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,275300,USD,275300,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,183500,USD,183500,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,218500,USD,218500,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,199098,USD,199098,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,203300,USD,203300,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,123600,USD,123600,US,Remote,US,Menengah
2023,Senior,Tetap,Research Engineer,189110,USD,189110,US,Kantor,US,Menengah
2023,Senior,Tetap,Research Engineer,139000,USD,139000,US,Kantor,US,Menengah
2023,Eksekutif,Tetap,Data Scientist,258750,USD,258750,US,Kantor,US,Menengah
2023,Eksekutif,Tetap,Data Scientist,185000,USD,185000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,231500,USD,231500,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,166000,USD,166000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,172500,USD,172500,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,110500,USD,110500,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,238000,USD,238000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,176000,USD,176000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,237000,USD,237000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,201450,USD,201450,US,Remote,US,Menengah
2023,Senior,Tetap,Applied Scientist,309400,USD,309400,US,Kantor,US,Besar
2023,Senior,Tetap,Applied Scientist,159100,USD,159100,US,Kantor,US,Besar
2023,Senior,Tetap,Data Engineer,115000,USD,115000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,81500,USD,81500,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,237000,USD,237000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,201450,USD,201450,US,Remote,US,Menengah
2023,Senior,Tetap,Computer Vision Engineer,280000,USD,280000,US,Kantor,US,Menengah
2023,Senior,Tetap,Computer Vision Engineer,210000,USD,210000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Architect,280100,USD,280100,US,Remote,US,Menengah
2023,Senior,Tetap,Data Architect,168100,USD,168100,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,193500,USD,193500,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,139000,USD,139000,US,Remote,US,Menengah
2023,Menengah,Tetap,Data Scientist,510000,HKD,65062,HK,Kantor,HK,Besar
2023,Senior,Tetap,Machine Learning Engineer,150000,USD,150000,PT,Remote,US,Menengah
2023,Menengah,Tetap,Applied Machine Learning Engineer,65000,EUR,69751,IN,Remote,DE,Kecil
2022,Pemula,Tetap,AI Developer,300000,USD,300000,IN,Hybrid,IN,Besar
2023,Menengah,Tetap,Machine Learning Engineer,90000,EUR,96578,NL,Remote,NL,Besar
2023,Senior,Tetap,Business Intelligence Engineer,185900,USD,185900,US,Kantor,US,Menengah
2023,Senior,Tetap,Business Intelligence Engineer,129300,USD,129300,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,225000,USD,225000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,175000,USD,175000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,185000,USD,185000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,140000,USD,140000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,45000,EUR,48289,ES,Kantor,ES,Menengah
2023,Senior,Tetap,Data Scientist,36000,EUR,38631,ES,Kantor,ES,Menengah
2023,Senior,Tetap,Data Scientist,105000,USD,105000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,70000,USD,70000,US,Kantor,US,Menengah
2023,Pemula,Tetap,Machine Learning Engineer,163196,USD,163196,US,Kantor,US,Menengah
2023,Pemula,Tetap,Machine Learning Engineer,145885,USD,145885,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,217000,USD,217000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,185000,USD,185000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,202800,USD,202800,US,Kantor,US,Besar
2023,Senior,Tetap,Data Analyst,104300,USD,104300,US,Kantor,US,Besar
2023,Senior,Tetap,Data Analyst,145000,USD,145000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,65000,USD,65000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,165000,USD,165000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,132300,USD,132300,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,179170,USD,179170,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,94300,USD,94300,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,152500,USD,152500,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,116450,USD,116450,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,247300,USD,247300,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,133800,USD,133800,US,Kantor,US,Menengah
2023,Senior,Tetap,Research Engineer,203000,USD,203000,US,Kantor,US,Menengah
2023,Senior,Tetap,Research Engineer,133000,USD,133000,US,Kantor,US,Menengah
2023,Pemula,Tetap,Research Scientist,220000,USD,220000,US,Hybrid,US,Besar
2022,Pemula,Tetap,Machine Learning Engineer,54000,CHF,56536,CH,Remote,CH,Kecil
2023,Senior,Tetap,Data Scientist,150000,USD,150000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,120000,USD,120000,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,289800,USD,289800,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,214000,USD,214000,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,179820,USD,179820,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,143860,USD,143860,US,Kantor,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,283200,USD,283200,US,Remote,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,188800,USD,188800,US,Remote,US,Menengah
2023,Senior,Tetap,Analytics Engineer,289800,USD,289800,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,214200,USD,214200,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,185900,USD,185900,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,129300,USD,129300,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,252000,USD,252000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,129000,USD,129000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Analytics Manager,155000,USD,155000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Analytics Manager,140000,USD,140000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,161800,USD,161800,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,141600,USD,141600,US,Remote,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,342300,USD,342300,US,Kantor,US,Besar
2023,Senior,Tetap,Machine Learning Engineer,176100,USD,176100,US,Kantor,US,Besar
2023,Menengah,Tetap,Data Engineer,100000,USD,100000,US,Remote,US,Menengah
2023,Menengah,Tetap,Data Engineer,70000,USD,70000,US,Remote,US,Menengah
2023,Pemula,Tetap,Data Engineer,85000,USD,85000,US,Kantor,US,Menengah
2023,Pemula,Tetap,Data Engineer,65000,USD,65000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,138784,USD,138784,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,83270,USD,83270,US,Remote,US,Menengah
2023,Pemula,Tetap,Data Analyst,75000,USD,75000,US,Kantor,US,Menengah
2023,Pemula,Tetap,Data Analyst,70000,USD,70000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,204500,USD,204500,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,138900,USD,138900,US,Kantor,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,318300,USD,318300,US,Remote,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,212200,USD,212200,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,95000,USD,95000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,75000,USD,75000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,195000,USD,195000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,160000,USD,160000,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,230000,USD,230000,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,143200,USD,143200,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Engineer,100000,USD,100000,US,Remote,US,Menengah
2023,Menengah,Tetap,Data Engineer,70000,USD,70000,US,Remote,US,Menengah
2023,Menengah,Tetap,Business Data Analyst,105000,USD,105000,US,Hybrid,US,Besar
2023,Menengah,Tetap,Applied Data Scientist,1700000,INR,20670,IN,Remote,IN,Besar
2023,Menengah,Tetap,Data Analyst,38000,GBP,46178,GB,Kantor,GB,Menengah
2023,Menengah,Tetap,Data Analyst,35000,GBP,42533,GB,Kantor,GB,Menengah
2023,Senior,Tetap,Data Engineer,145000,USD,145000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,115000,USD,115000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,168400,USD,168400,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,105200,USD,105200,US,Kantor,US,Menengah
2023,Senior,Tetap,Applied Scientist,309400,USD,309400,US,Kantor,US,Besar
2023,Senior,Tetap,Applied Scientist,159100,USD,159100,US,Kantor,US,Besar
2023,Senior,Tetap,Machine Learning Engineer,190000,USD,190000,US,Kantor,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,150000,USD,150000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Engineer,162500,USD,162500,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Engineer,130000,USD,130000,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,150000,USD,150000,US,Remote,US,Menengah
2023,Senior,Tetap,Analytics Engineer,120000,USD,120000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,145000,USD,145000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,120000,USD,120000,US,Kantor,US,Menengah
2023,Senior,Tetap,Applied Scientist,222200,USD,222200,US,Kantor,US,Besar
2023,Senior,Tetap,Applied Scientist,136000,USD,136000,US,Kantor,US,Besar
2023,Senior,Tetap,Data Analyst,45000,GBP,54685,CF,Remote,CF,Menengah
2023,Senior,Tetap,Data Analyst,35000,GBP,42533,CF,Remote,CF,Menengah
2023,Senior,Tetap,Data Engineer,241000,USD,241000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,155000,USD,155000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,220000,USD,220000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,190000,USD,190000,US,Remote,US,Menengah
2023,Menengah,Tetap,Data Scientist,55000,GBP,66837,GB,Kantor,GB,Menengah
2023,Menengah,Tetap,Data Scientist,45000,GBP,54685,GB,Kantor,GB,Menengah
2020,Eksekutif,Tetap,Staff Data Analyst,15000,USD,15000,NG,Kantor,CA,Menengah
2023,Menengah,Tetap,ETL Engineer,70000,GBP,85066,GB,Remote,GB,Menengah
2023,Menengah,Tetap,ETL Engineer,47500,GBP,57723,GB,Remote,GB,Menengah
2023,Pemula,Tetap,Data Analyst,85000,USD,85000,US,Remote,US,Menengah
2023,Pemula,Tetap,Data Analyst,75000,USD,75000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,160000,USD,160000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,140000,USD,140000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Machine Learning Engineer,300000,USD,300000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Machine Learning Engineer,250000,USD,250000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,228000,USD,228000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,186000,USD,186000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,190000,USD,190000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,170000,USD,170000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Research Engineer,230000,USD,230000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Research Engineer,200000,USD,200000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Architect,180000,USD,180000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Architect,115000,USD,115000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Architect,200000,USD,200000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Architect,115000,USD,115000,US,Remote,US,Menengah
2023,Senior,Tetap,Data DevOps Engineer,50000,EUR,53654,FR,Hybrid,FR,Kecil
2023,Eksekutif,Tetap,Data Engineer,220000,USD,220000,US,Kantor,US,Menengah
2023,Eksekutif,Tetap,Data Engineer,205000,USD,205000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Engineer,180000,USD,180000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Engineer,130000,USD,130000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,200000,USD,200000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,150000,USD,150000,US,Remote,US,Menengah
2023,Senior,Tetap,Computer Vision Engineer,215000,USD,215000,US,Kantor,US,Menengah
2023,Senior,Tetap,Computer Vision Engineer,170000,USD,170000,US,Kantor,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,247500,USD,247500,US,Kantor,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,172200,USD,172200,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,224000,USD,224000,CA,Kantor,CA,Menengah
2023,Senior,Tetap,Data Scientist,176000,USD,176000,CA,Kantor,CA,Menengah
2023,Senior,Tetap,Data Analyst,120000,USD,120000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,75000,USD,75000,US,Remote,US,Menengah
2023,Pemula,Tetap,Data Engineer,1400000,INR,17022,IN,Remote,IN,Besar
2023,Senior,Tetap,Applied Data Scientist,100000,AUD,68318,AU,Remote,FI,Menengah
2023,Menengah,Tetap,AI Developer,100000,SGD,75020,FI,Kantor,FI,Menengah
2023,Senior,Tetap,Data Analyst,140000,USD,140000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,120000,USD,120000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,128000,USD,128000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,81500,USD,81500,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,145000,USD,145000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,115000,USD,115000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,185000,USD,185000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,140000,USD,140000,US,Kantor,US,Menengah
2023,Eksekutif,Tetap,Head of Data,329500,USD,329500,US,Kantor,US,Menengah
2023,Eksekutif,Tetap,Head of Data,269600,USD,269600,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Quality Analyst,100000,USD,100000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Quality Analyst,80000,USD,80000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,250000,USD,250000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,162500,USD,162500,US,Kantor,US,Menengah
2023,Menengah,Tetap,AI Developer,200000,USD,200000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,145000,USD,145000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,100000,USD,100000,US,Kantor,US,Menengah
2023,Eksekutif,Tetap,Data Engineer,145000,USD,145000,US,Kantor,US,Menengah
2023,Eksekutif,Tetap,Data Engineer,115000,USD,115000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,203500,USD,203500,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,152000,USD,152000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,239000,USD,239000,US,Kantor,US,Besar
2023,Senior,Tetap,Data Scientist,122900,USD,122900,US,Kantor,US,Besar
2023,Senior,Tetap,Data Scientist,237000,USD,237000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,145000,USD,145000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Science Manager,191765,USD,191765,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Science Manager,134236,USD,134236,US,Kantor,US,Menengah
2023,Senior,Tetap,Analytics Engineer,190000,USD,190000,US,Remote,US,Menengah
2023,Senior,Tetap,Analytics Engineer,112000,USD,112000,US,Remote,US,Menengah
2022,Senior,Tetap,Data Scientist,84000,EUR,88256,ES,Remote,GB,Besar
2023,Pemula,Tetap,Data Engineer,85000,USD,85000,US,Kantor,US,Menengah
2023,Pemula,Tetap,Data Engineer,65000,USD,65000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,135000,USD,135000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,105500,USD,105500,US,Kantor,US,Menengah
2023,Senior,Tetap,Research Engineer,293000,USD,293000,US,Kantor,US,Menengah
2023,Senior,Tetap,Research Engineer,185000,USD,185000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,80000,USD,80000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,70000,USD,70000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,220000,USD,220000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,160000,USD,160000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,175000,USD,175000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,145000,USD,145000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,200000,USD,200000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,148500,USD,148500,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,45000,EUR,48289,ES,Kantor,ES,Menengah
2023,Senior,Tetap,Data Scientist,36000,EUR,38631,ES,Kantor,ES,Menengah
2023,Senior,Tetap,Data Engineer,240500,USD,240500,US,Kantor,US,Besar
2023,Senior,Tetap,Data Engineer,123700,USD,123700,US,Kantor,US,Besar
2023,Senior,Tetap,Analytics Engineer,152900,USD,152900,US,Remote,US,Menengah
2023,Senior,Tetap,Analytics Engineer,117100,USD,117100,US,Remote,US,Menengah
2023,Senior,Tetap,Analytics Engineer,173000,USD,173000,US,Remote,US,Menengah
2023,Senior,Tetap,Analytics Engineer,113000,USD,113000,US,Remote,US,Menengah
2023,Senior,Tetap,Applied Scientist,260000,USD,260000,US,Kantor,US,Besar
2023,Senior,Tetap,Applied Scientist,136000,USD,136000,US,Kantor,US,Besar
2023,Eksekutif,Tetap,Data Engineer,175000,USD,175000,US,Kantor,US,Menengah
2023,Eksekutif,Tetap,Data Engineer,110000,USD,110000,US,Kantor,US,Menengah
2023,Senior,Tetap,Applied Scientist,260000,USD,260000,US,Kantor,US,Besar
2023,Senior,Tetap,Applied Scientist,136000,USD,136000,US,Kantor,US,Besar
2023,Senior,Tetap,Research Scientist,130000,USD,130000,US,Remote,US,Menengah
2023,Senior,Tetap,Research Scientist,110000,USD,110000,US,Remote,US,Menengah
2023,Senior,Tetap,Applied Scientist,205000,USD,205000,US,Remote,US,Menengah
2023,Senior,Tetap,Applied Scientist,184000,USD,184000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,149500,USD,149500,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,127075,USD,127075,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,195000,USD,195000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,160000,USD,160000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,219535,USD,219535,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,146115,USD,146115,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,170000,USD,170000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,135000,USD,135000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,175000,USD,175000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,145000,USD,145000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,199000,USD,199000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,162000,USD,162000,US,Kantor,US,Menengah
2023,Senior,Tetap,Applied Scientist,222200,USD,222200,US,Kantor,US,Besar
2023,Senior,Tetap,Applied Scientist,136000,USD,136000,US,Kantor,US,Besar
2023,Eksekutif,Tetap,Analytics Engineer,221000,USD,221000,US,Remote,US,Menengah
2023,Eksekutif,Tetap,Analytics Engineer,153000,USD,153000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,187000,USD,187000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,128000,USD,128000,US,Kantor,US,Menengah
2023,Senior,Tetap,Research Scientist,210000,USD,210000,US,Kantor,US,Menengah
2023,Senior,Tetap,Research Scientist,136000,USD,136000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,175000,USD,175000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,100000,USD,100000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Engineer,179000,USD,179000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,109000,USD,109000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,245000,USD,245000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,180000,USD,180000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,142000,USD,142000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,75000,USD,75000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Manager,198800,USD,198800,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Manager,105200,USD,105200,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,125000,USD,125000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,112000,USD,112000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,210000,USD,210000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,155000,USD,155000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Manager,115000,USD,115000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Manager,86000,USD,86000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Scientist,165000,USD,165000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,140000,USD,140000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,139000,USD,139000,US,Kantor,US,Menengah
